,kyouriki 2 glu 8,kyouriki 3 glu 7,kyouriki 4 glu 6,kyouriki 5 glu 5,kyouriki 6 glu 4,kyouriki 7 glu 3,kyouriki 8 glu 2,kyouriki 9 glu 1
1170.8,0.1416038,0.1438211,0.1318765,0.132444,0.1254833,0.1171481,0.1149899,0.1108993
1171.06,0.1419354,0.144198,0.1322563,0.1327357,0.1257744,0.117389,0.1152371,0.1111601
1171.33,0.1422745,0.1446073,0.1326468,0.133032,0.1260639,0.1176736,0.1154786,0.1113874
1171.59,0.1425716,0.1449597,0.1329654,0.1332907,0.1263048,0.1179685,0.1156962,0.1116016
1171.86,0.1428069,0.1452288,0.1331941,0.1335173,0.1264908,0.1181911,0.1158803,0.1118089
1172.12,0.1430762,0.1454626,0.1334148,0.1337452,0.1267091,0.1183746,0.1160738,0.1120177
1172.39,0.1434164,0.1457175,0.1337014,0.1339979,0.1269977,0.1185995,0.1163161,0.1122635
1172.65,0.1437621,0.1460273,0.1340448,0.1342946,0.127324,0.1188751,0.1166137,0.1125652
1172.92,0.1440888,0.1463729,0.1343901,0.1346072,0.1276372,0.1191424,0.1169182,0.1128811
1173.18,0.1444367,0.1467059,0.1347111,0.1349114,0.1279036,0.1193658,0.1171829,0.1131518
1173.45,0.1447999,0.1470023,0.1350225,0.1352296,0.1281439,0.1195857,0.11741,0.1133573
1173.71,0.1451239,0.1472932,0.1353296,0.1355476,0.1284028,0.1198501,0.1176155,0.113544
1173.98,0.1454495,0.147663,0.1356371,0.1358465,0.1287111,0.1201683,0.1178433,0.1137714
1174.25,0.1458396,0.1480936,0.1359529,0.1361624,0.1290465,0.120488,0.1181212,0.1140146
1174.51,0.146251,0.1484893,0.1363019,0.1365372,0.1293752,0.1207585,0.1184129,0.114248
1174.78,0.1466446,0.1488802,0.1366922,0.1369472,0.1296963,0.1210177,0.1186965,0.1145137
1175.04,0.1470349,0.1493127,0.1370673,0.1373229,0.1299895,0.1213139,0.1189868,0.1148105
1175.31,0.1474291,0.149733,0.1374323,0.1376523,0.1302633,0.1216335,0.1192884,0.1150874
1175.58,0.1478312,0.1501058,0.1378163,0.1379663,0.1305777,0.1219314,0.1195868,0.1153432
1175.84,0.1482305,0.1504402,0.1381523,0.138258,0.1309091,0.1221754,0.1198497,0.115597
1176.11,0.1485915,0.150751,0.1384429,0.1385054,0.1311701,0.1223786,0.1200566,0.1158157
1176.38,0.1489259,0.1510871,0.1387724,0.1387455,0.1313704,0.1225905,0.1202392,0.1159765
1176.64,0.1492667,0.1514869,0.1391274,0.1390223,0.1315743,0.1228245,0.1204239,0.1161044
1176.91,0.1496129,0.1519002,0.1394474,0.1393016,0.1318106,0.1230449,0.1206094,0.1162393
1177.18,0.1500274,0.1522839,0.1397585,0.1395872,0.1321066,0.1232792,0.1208322,0.1164439
1177.44,0.1505356,0.1526829,0.1401096,0.1399394,0.1324431,0.1235815,0.1211082,0.116725
1177.71,0.1510028,0.1531119,0.1404888,0.1403405,0.1327617,0.1239089,0.1213883,0.1170158
1177.98,0.1513805,0.1535332,0.1408781,0.1407296,0.1330763,0.124192,0.1216628,0.1172826
1178.25,0.1518299,0.1540048,0.1413327,0.141129,0.1334622,0.1244811,0.1220152,0.1175644
1178.52,0.1524283,0.1545684,0.1418737,0.1415929,0.1339122,0.1248347,0.1224454,0.1178926
1178.78,0.1529991,0.1550746,0.1423566,0.1420379,0.1342905,0.1251578,0.1227661,0.1181895
1179.05,0.1533947,0.1554348,0.14269,0.1423465,0.1345212,0.1253826,0.1228965,0.1183842
1179.32,0.1537171,0.15577,0.1429939,0.1425798,0.134711,0.1255831,0.123004,0.1185431
1179.59,0.1541285,0.1561915,0.1433689,0.1428801,0.1349932,0.1258271,0.1232428,0.1187578
1179.86,0.1546536,0.1566998,0.143819,0.1432906,0.1353746,0.1261342,0.123587,0.1190334
1180.12,0.1552056,0.1572073,0.1442968,0.1437238,0.1357779,0.12647,0.1238854,0.1193059
1180.39,0.1557248,0.1576604,0.1447259,0.1441007,0.1361451,0.1267877,0.1240864,0.1195361
1180.66,0.1562207,0.1581345,0.1451325,0.1444537,0.1364685,0.1270998,0.1243058,0.1197508
1180.93,0.1567084,0.1586722,0.1455835,0.1448268,0.1367725,0.1273996,0.1245976,0.1199915
1181.2,0.1572236,0.1592234,0.1460692,0.1452386,0.1371041,0.1276722,0.1249166,0.1202794
1181.47,0.1577807,0.1597519,0.1465536,0.1456743,0.1374665,0.1279587,0.1252161,0.1205563
1181.74,0.1583153,0.1602382,0.1469993,0.1460648,0.1377744,0.1282591,0.1254529,0.1207447
1182.01,0.1588234,0.1606967,0.1474216,0.1464348,0.1380337,0.1285366,0.1256445,0.1209085
1182.28,0.1593892,0.1611894,0.1478938,0.1468758,0.1383872,0.1288331,0.1258839,0.1211468
1182.55,0.1600148,0.1617127,0.1484186,0.1473529,0.1388286,0.1291839,0.1262139,0.1214355
1182.82,0.1606212,0.1622244,0.1489238,0.1478003,0.1392257,0.1295472,0.1265658,0.121723
1183.09,0.1611784,0.1627662,0.149388,0.1482285,0.1395755,0.1298926,0.1268723,0.1219858
1183.36,0.1617213,0.1633826,0.1498773,0.1486555,0.1399612,0.1302205,0.1271472,0.1222214
1183.63,0.1622848,0.164042,0.1504263,0.1490926,0.1404032,0.1305373,0.1274206,0.1224781
1183.9,0.1628785,0.1646711,0.1509648,0.1495332,0.1408409,0.1308403,0.1276938,0.1227582
1184.17,0.1635107,0.1652394,0.1514599,0.1499738,0.1412162,0.1311225,0.1279779,0.1230037
1184.44,0.1641416,0.1657945,0.1519599,0.1504166,0.1415419,0.1313965,0.128273,0.1232171
1184.71,0.1647035,0.1663551,0.1524672,0.1508429,0.141866,0.1316702,0.1285464,0.1234312
1184.98,0.1652476,0.1669267,0.1529763,0.1512791,0.1422396,0.1319596,0.1288059,0.1236573
1185.25,0.1658368,0.1675273,0.1535002,0.1517323,0.1426658,0.1322861,0.1290708,0.1238928
1185.52,0.1664043,0.1680963,0.1539955,0.1521276,0.1430532,0.1325962,0.1293128,0.1241072
1185.79,0.1669298,0.1686087,0.1544505,0.15248,0.1433567,0.1328457,0.1295334,0.1243185
1186.06,0.1674808,0.1691495,0.1549247,0.1528907,0.1436636,0.1331036,0.1297817,0.1245694
1186.33,0.1681027,0.1697664,0.1554547,0.1533904,0.1440646,0.1334371,0.1300996,0.1248472
1186.61,0.168808,0.170419,0.1560518,0.1539352,0.1445374,0.13383,0.1304674,0.1251547
1186.88,0.1695181,0.1710307,0.1566692,0.1544555,0.1449703,0.1342235,0.1308031,0.1254649
1187.15,0.1700954,0.1715325,0.157161,0.1548784,0.1452755,0.1345234,0.1310429,0.125663
1187.42,0.1705308,0.1719656,0.1575027,0.1551944,0.1454808,0.1347041,0.1311987,0.1257376
1187.69,0.1710032,0.1724859,0.1578958,0.1555112,0.1457179,0.1349018,0.1313668,0.1258286
1187.96,0.1716699,0.1731589,0.1584613,0.1559386,0.1460793,0.135226,0.1316325,0.1260269
1188.24,0.1724668,0.17388,0.1591091,0.15646,0.1465235,0.1356243,0.13197,0.1263139
1188.51,0.1732372,0.1745454,0.1597451,0.1570115,0.1469894,0.1360107,0.1323154,0.1266208
1188.78,0.1739268,0.1751821,0.160362,0.1575674,0.1474604,0.1363647,0.1326554,0.1268891
1189.05,0.17457,0.1758632,0.1609573,0.1581001,0.1478967,0.1366981,0.1329757,0.1271328
1189.33,0.1752161,0.1765414,0.1614939,0.1585773,0.14826,0.1370021,0.1332306,0.1273697
1189.6,0.1758599,0.1771103,0.1619707,0.1589929,0.1485841,0.1372558,0.1334076,0.1275412
1189.87,0.1764947,0.1776324,0.1624681,0.1593843,0.1489365,0.137486,0.133567,0.1276425
1190.15,0.1771686,0.1782447,0.1630428,0.159806,0.1493116,0.1377442,0.1337745,0.1277678
1190.42,0.1778581,0.1789043,0.1636481,0.1602589,0.1496747,0.1380199,0.1340026,0.1279396
1190.69,0.1785232,0.1795315,0.1642515,0.1607298,0.1500555,0.1382948,0.1342177,0.1281309
1190.97,0.1792112,0.1801827,0.164892,0.1612442,0.1504739,0.1386052,0.1344744,0.128372
1191.24,0.1799086,0.180875,0.1655419,0.1617688,0.1508871,0.1389397,0.1347681,0.1286316
1191.51,0.1805683,0.1815512,0.166135,0.1622262,0.1512606,0.1392436,0.1350344,0.1288265
1191.79,0.1812406,0.1822112,0.1666804,0.1626433,0.1516239,0.1395269,0.1352842,0.1289636
1192.06,0.1819577,0.1828641,0.1671975,0.163077,0.1519959,0.139806,0.1355362,0.1290885
1192.34,0.1826722,0.1835145,0.1677205,0.1635296,0.1523472,0.1400715,0.1357743,0.1292409
1192.61,0.1833386,0.1841811,0.1682853,0.1640103,0.1526709,0.1403239,0.1359855,0.1294383
1192.88,0.1839762,0.1848452,0.1688611,0.164497,0.1529788,0.1405718,0.1361817,0.1296296
1193.16,0.1846546,0.1854942,0.1694515,0.1649636,0.1533105,0.1408548,0.1364102,0.1298012
1193.43,0.185386,0.186144,0.1700755,0.1654419,0.1537018,0.141176,0.1366753,0.1299936
1193.71,0.186091,0.1867888,0.1706553,0.1659317,0.1540921,0.1414543,0.1369128,0.1301715
1193.98,0.1867224,0.1874272,0.1711571,0.1663982,0.1544349,0.1416653,0.1370936,0.1302975
1194.26,0.1873397,0.1880679,0.1716716,0.1668463,0.1547825,0.1419054,0.1372766,0.1304556
1194.53,0.1880023,0.1887029,0.1722511,0.1673117,0.1551632,0.1422591,0.1375344,0.1307163
1194.81,0.1886477,0.1892967,0.1728148,0.1677753,0.1555384,0.142646,0.1378277,0.1309812
1195.08,0.1891953,0.1898172,0.173272,0.1681545,0.1558778,0.1429225,0.1380474,0.1311427
1195.36,0.1896819,0.1902816,0.1736567,0.1684603,0.1561653,0.1430946,0.138185,0.131245
1195.63,0.1901341,0.1907063,0.1740134,0.1687809,0.1563928,0.1432379,0.1383056,0.1313313
1195.91,0.1905013,0.1910943,0.174324,0.169103,0.1565907,0.1433842,0.1384423,0.1313833
1196.19,0.1908063,0.1914597,0.1746064,0.1693631,0.1567757,0.1435401,0.1385894,0.1314351
1196.46,0.191118,0.191792,0.1748926,0.1695806,0.1569348,0.1436729,0.1387121,0.131516
1196.74,0.1914492,0.1920913,0.1751932,0.1698053,0.1571016,0.1437794,0.1388103,0.1316031
1197.01,0.1917818,0.1923631,0.1754972,0.1700142,0.1573017,0.1438936,0.1389191,0.1316809
1197.29,0.1920922,0.1925918,0.175767,0.170172,0.1574888,0.144012,0.1390393,0.1317566
1197.57,0.1923278,0.1927895,0.1759795,0.1702958,0.1576097,0.1441147,0.1391356,0.1318342
1197.84,0.1924463,0.1929626,0.1761176,0.1704014,0.1576628,0.1441875,0.1391909,0.1318903
1198.12,0.1925174,0.1930997,0.1761968,0.1705082,0.1577219,0.1442555,0.1392528,0.1319362
1198.4,0.1926065,0.193197,0.1762578,0.1706216,0.157828,0.1443373,0.1393353,0.1320062
1198.67,0.1926785,0.1932508,0.1763053,0.1707122,0.1579138,0.1444035,0.1393993,0.1320917
1198.95,0.1927069,0.1932646,0.1763224,0.1707493,0.1579333,0.1444364,0.1394464,0.1321635
1199.23,0.1926998,0.1932546,0.1763294,0.1707302,0.1579334,0.1444539,0.1394927,0.1322243
1199.51,0.1926973,0.1932448,0.1763566,0.1707078,0.1579763,0.144495,0.1395363,0.1323041
1199.78,0.1927043,0.1932171,0.1763485,0.1706926,0.1580431,0.1445508,0.139564,0.1323716
1200.06,0.192648,0.1931496,0.1762603,0.1706588,0.1580584,0.1445772,0.1395761,0.1323907
1200.34,0.1924949,0.1930741,0.1761563,0.1706337,0.1580024,0.1445747,0.1395646,0.1323874
1200.62,0.1922887,0.1929779,0.1760791,0.1705997,0.1579091,0.144548,0.1395065,0.1323632
1200.9,0.1921033,0.1928225,0.1760015,0.17052,0.1578131,0.1444976,0.1394456,0.1323249
1201.17,0.1919558,0.1926331,0.1758759,0.1704147,0.1577276,0.1444379,0.1394341,0.1323007
1201.45,0.1917591,0.1924218,0.1756656,0.1702661,0.1576289,0.1443441,0.1394208,0.1322566
1201.73,0.1914862,0.1921755,0.1754245,0.1700684,0.1575181,0.1442122,0.1393557,0.1321797
1202.01,0.1912482,0.1919405,0.1752396,0.1698964,0.1574474,0.1441267,0.1393131,0.1321384
1202.29,0.1910761,0.1917645,0.1750747,0.1697783,0.1573979,0.1441071,0.1393358,0.1321433
1202.57,0.1908816,0.1916086,0.1748718,0.1696827,0.1573053,0.1440586,0.1393238,0.1321477
1202.85,0.1906555,0.1913965,0.1746642,0.1695919,0.1571883,0.1439514,0.1392303,0.1321461
1203.12,0.190418,0.1911082,0.1744609,0.1694568,0.1570523,0.1438392,0.1391086,0.132112
1203.4,0.1901279,0.1908001,0.1742291,0.1692416,0.1568695,0.1437476,0.1389923,0.1320357
1203.68,0.1897847,0.19052,0.1739732,0.1690068,0.15668,0.1436584,0.1389008,0.131978
1203.96,0.1894375,0.1902501,0.1737217,0.168807,0.1565171,0.1435488,0.1388517,0.1319332
1204.24,0.1890934,0.1899423,0.1734485,0.1685982,0.156342,0.1433921,0.1388199,0.1318225
1204.52,0.1887526,0.1895871,0.1731258,0.1683467,0.1561397,0.1431905,0.1387521,0.1316746
1204.8,0.1884078,0.1892094,0.1727852,0.1680805,0.1559553,0.142997,0.1386201,0.1315785
1205.08,0.1880028,0.1888246,0.1724382,0.1677983,0.1557925,0.1428447,0.1384359,0.1315181
1205.36,0.1875805,0.18846,0.1721212,0.1675178,0.155615,0.1427398,0.1382624,0.1314719
1205.64,0.1872364,0.1881164,0.1718661,0.1672888,0.1554579,0.142665,0.1381523,0.1314587
1205.92,0.186943,0.187756,0.1716014,0.1670731,0.1553391,0.1425684,0.1380722,0.1314341
1206.2,0.1866415,0.1874057,0.1712934,0.1668159,0.1551714,0.1424449,0.1379807,0.131348
1206.48,0.1862963,0.1870873,0.1709835,0.1665377,0.1549265,0.142324,0.1378751,0.1312202
1206.76,0.1859225,0.1867605,0.1706934,0.1662828,0.1546995,0.142199,0.1377579,0.1311197
1207.05,0.1855629,0.1864413,0.1704114,0.1660595,0.1545302,0.1420435,0.1376397,0.1310648
1207.33,0.1852374,0.1861738,0.1701599,0.1658488,0.1543783,0.1418844,0.1375498,0.1310261
1207.61,0.1849942,0.185936,0.1699877,0.1656621,0.1542322,0.1417774,0.1375009,0.1310059
1207.89,0.1848151,0.1857038,0.1698471,0.1655059,0.1540903,0.1417157,0.1374544,0.1309763
1208.17,0.1845983,0.185465,0.1696617,0.1653451,0.153935,0.1416451,0.1373576,0.1308895
1208.45,0.1843414,0.1852072,0.1694466,0.1651903,0.153782,0.1415393,0.1372137,0.1307762
1208.73,0.1841116,0.1849632,0.1692256,0.1650643,0.1536597,0.1413969,0.1370699,0.1306682
1209.02,0.183927,0.1847635,0.1690175,0.164924,0.1535479,0.1412252,0.1369396,0.1305526
1209.3,0.1837646,0.1845977,0.1688566,0.1647502,0.153422,0.1410663,0.1368099,0.1304341
1209.58,0.1836002,0.1844521,0.16872,0.1645957,0.1533077,0.1409519,0.1366958,0.1303125
1209.86,0.1834437,0.184303,0.1685712,0.1644761,0.1532039,0.1408597,0.1365961,0.1301835
1210.14,0.1833065,0.1841421,0.1684253,0.1643336,0.153052,0.1407413,0.1364639,0.130034
1210.43,0.1831722,0.1840344,0.1683056,0.1641874,0.1528754,0.1405882,0.1363114,0.1298626
1210.71,0.1830539,0.1840185,0.1682224,0.1641182,0.1527695,0.1404694,0.1362152,0.1297435
1210.99,0.1829671,0.1840121,0.1681621,0.164073,0.1527193,0.1403956,0.1361617,0.1296829
1211.27,0.1828994,0.1839537,0.1680906,0.1639602,0.1526409,0.1402963,0.1360776,0.1295857
1211.56,0.1828734,0.1838795,0.1680047,0.1638342,0.1525365,0.1401765,0.135965,0.129441
1211.84,0.1829084,0.1838258,0.1679415,0.1637718,0.1524395,0.1400799,0.1358677,0.1293027
1212.12,0.1829695,0.1837998,0.1679263,0.1637552,0.1523618,0.1400077,0.1358003,0.1291976
1212.41,0.1830051,0.1838043,0.1679475,0.1637614,0.1523272,0.1399527,0.1357182,0.129123
1212.69,0.1830109,0.1838524,0.167977,0.1637877,0.1523199,0.1399238,0.135604,0.1290707
1212.97,0.1830101,0.1839324,0.1679762,0.1637851,0.1522932,0.1399077,0.1355151,0.1290158
1213.26,0.1830235,0.1839836,0.1679452,0.1637362,0.1522409,0.139858,0.1354696,0.1289215
1213.54,0.1830494,0.1839475,0.1678989,0.163666,0.1521511,0.1397434,0.1353932,0.1287893
1213.83,0.183045,0.1838516,0.167822,0.1635734,0.1520255,0.139591,0.135235,0.1286345
1214.11,0.1829889,0.1837811,0.1677319,0.1634842,0.1518939,0.1394527,0.1350664,0.1284438
1214.4,0.1828964,0.1837581,0.1676651,0.1634244,0.1517614,0.1393328,0.1349443,0.128229
1214.68,0.1828144,0.1837648,0.1676402,0.1633832,0.1516514,0.1392259,0.1348351,0.1280673
1214.96,0.1827934,0.1837796,0.1676462,0.1633399,0.1515801,0.1391247,0.1347224,0.1279858
1215.25,0.1827962,0.1837513,0.1676319,0.1632617,0.1515105,0.1389865,0.1345915,0.127905
1215.53,0.1827722,0.1836552,0.1675564,0.1631398,0.1514102,0.1388043,0.1344312,0.1277666
1215.82,0.1827547,0.1835379,0.1674463,0.1630045,0.1512922,0.1386358,0.1342797,0.1275994
1216.1,0.1827647,0.1834634,0.1673678,0.1628872,0.15119,0.1385308,0.1341526,0.1274472
1216.39,0.1827411,0.1834136,0.1673022,0.1627768,0.1510968,0.1384419,0.1340144,0.1272773
1216.67,0.1826676,0.1833333,0.1671842,0.1626411,0.1509805,0.138298,0.1338513,0.1270503
1216.96,0.1826002,0.1832209,0.1670337,0.1624922,0.150834,0.1381236,0.1336871,0.1268139
1217.25,0.1825252,0.1831218,0.1669148,0.162362,0.1506832,0.1379656,0.1335218,0.1266229
1217.53,0.1824169,0.183087,0.166857,0.1622679,0.1505641,0.1378437,0.1333485,0.1264797
1217.82,0.1823198,0.1830741,0.1668127,0.1622065,0.1504533,0.1377392,0.1331873,0.1263569
1218.1,0.1822602,0.1830051,0.1667169,0.1621389,0.1503013,0.1375999,0.1330553,0.1262249
1218.39,0.1822081,0.1829064,0.1665904,0.1620304,0.1501349,0.1374298,0.1329553,0.1260712
1218.68,0.1821293,0.1828249,0.1664961,0.1619165,0.1500101,0.137277,0.132861,0.1258981
1218.96,0.1820253,0.1827453,0.1664394,0.1618274,0.1499131,0.1371381,0.1327216,0.1257175
1219.25,0.1819281,0.1826337,0.1663558,0.1617185,0.1498007,0.1369731,0.1325377,0.1255478
1219.54,0.1818669,0.1824985,0.1662161,0.1615943,0.1496627,0.1367979,0.1323647,0.1253903
1219.82,0.1817981,0.1823757,0.1660637,0.1614926,0.1494979,0.1366499,0.1322052,0.1252185
1220.11,0.1816628,0.1822717,0.1659266,0.1613713,0.1493123,0.1365089,0.1320291,0.1250302
1220.4,0.1814983,0.1821663,0.1657983,0.1611989,0.1491319,0.1363515,0.1318611,0.12485
1220.68,0.1813582,0.1820499,0.1656901,0.1610191,0.1489807,0.1361977,0.1317174,0.1246914
1220.97,0.181211,0.1819071,0.1655717,0.160847,0.1488229,0.1360443,0.1315592,0.1245336
1221.26,0.1810048,0.1817199,0.1653693,0.1606571,0.1486145,0.1358623,0.1313581,0.1243407
1221.55,0.1807963,0.1815275,0.1651379,0.1604812,0.1484246,0.1356792,0.1311486,0.1241491
1221.83,0.1806456,0.181351,0.1649805,0.1603224,0.1482891,0.135508,0.1309643,0.1239857
1222.12,0.1804909,0.1811672,0.164846,0.1601124,0.1481194,0.1353063,0.1307741,0.1237964
1222.41,0.1803091,0.1809955,0.1646552,0.1598869,0.147905,0.1351019,0.1305712,0.1236001
1222.7,0.1801348,0.1808285,0.1644283,0.159721,0.1477145,0.1349351,0.1303951,0.1234343
1222.99,0.1799275,0.1806115,0.1641989,0.1595554,0.147543,0.1347563,0.1302154,0.1232271
1223.28,0.1796802,0.1803629,0.163984,0.1593531,0.1473714,0.1345562,0.130003,0.1229771
1223.56,0.1794825,0.180153,0.1638136,0.1591871,0.1472228,0.1343942,0.1298291,0.1227865
1223.85,0.1793373,0.1799761,0.1636723,0.1590562,0.1470833,0.1342561,0.1297129,0.1226518
1224.14,0.1791671,0.1797771,0.1634909,0.1588946,0.1469109,0.1340937,0.1295795,0.1225097
1224.43,0.1789723,0.1795684,0.1632542,0.1587054,0.1467031,0.1339115,0.1294009,0.1223324
1224.72,0.1787927,0.1794005,0.1630362,0.1585251,0.1465002,0.1337403,0.1292058,0.1221281
1225.01,0.1786427,0.1792777,0.1628883,0.1583568,0.1463428,0.1336031,0.1290283,0.12196
1225.3,0.1785068,0.1791546,0.1627568,0.1581912,0.1462126,0.1334615,0.1288781,0.1218408
1225.59,0.1783471,0.1789788,0.1625775,0.1580303,0.146041,0.1332621,0.1287042,0.1217087
1225.88,0.1781313,0.1787199,0.1623406,0.1578216,0.145791,0.1330014,0.1284528,0.1214932
1226.17,0.1778804,0.1784424,0.1620985,0.1575566,0.1455398,0.1327329,0.1281789,0.1212032
1226.46,0.177675,0.1782572,0.1619431,0.1573558,0.1453861,0.1325594,0.1280007,0.1209831
1226.75,0.1775261,0.1781311,0.1618405,0.1572194,0.1452867,0.1324812,0.1279104,0.1208925
1227.04,0.1773596,0.1779518,0.1616543,0.1570236,0.1451446,0.1323624,0.1277774,0.1208143
1227.33,0.1771462,0.17771,0.1613785,0.1567676,0.1449463,0.1321418,0.1275675,0.120671
1227.62,0.1769068,0.1774624,0.1611191,0.1565309,0.1447095,0.1318948,0.1273559,0.1204818
1227.91,0.176642,0.1772311,0.1609001,0.1563309,0.1444547,0.131671,0.1271566,0.1202745
1228.2,0.1763726,0.177021,0.1606994,0.1561603,0.1442434,0.1314631,0.1269793,0.1200978
1228.49,0.1761616,0.1768467,0.1605309,0.1560132,0.1440863,0.1312811,0.1268613,0.1199731
1228.78,0.17598,0.1766513,0.1603465,0.155819,0.1438918,0.1311002,0.126726,0.1198058
1229.07,0.1757582,0.1763852,0.1600936,0.1555667,0.1436454,0.1309134,0.1265182,0.1195656
1229.37,0.1755267,0.1761115,0.1598251,0.1553602,0.1434381,0.1307689,0.1263254,0.1193587
1229.66,0.1753014,0.1758672,0.1595908,0.1552042,0.1432851,0.1306385,0.1261739,0.1192211
1229.95,0.1750578,0.1756333,0.1593841,0.1550276,0.1431356,0.130483,0.126012,0.1191035
1230.24,0.1748117,0.1754133,0.1591802,0.1548354,0.1429561,0.1303169,0.1258292,0.1189413
1230.53,0.1745767,0.1751988,0.1589535,0.1546453,0.1427394,0.1301344,0.1256375,0.1187096
1230.83,0.1743372,0.1749763,0.1587092,0.1544311,0.1425058,0.1299448,0.1254617,0.1184889
1231.12,0.1740855,0.1747565,0.1584723,0.1541968,0.1422768,0.1297762,0.1253092,0.1183425
1231.41,0.1738345,0.1745278,0.1582404,0.1539784,0.1420709,0.1296046,0.1251538,0.1182099
1231.7,0.1735988,0.1742798,0.1579942,0.1537747,0.1418976,0.1294089,0.1249994,0.1180363
1231.99,0.1733792,0.1740529,0.1577575,0.1535768,0.1417477,0.1292315,0.1248726,0.1178612
1232.29,0.1731483,0.1738317,0.1575531,0.1533689,0.1415899,0.129071,0.1247387,0.1176918
1232.58,0.1729104,0.173588,0.1573717,0.1531598,0.1414178,0.128891,0.124566,0.1175156
1232.87,0.1727203,0.1733887,0.1572161,0.1530043,0.1412803,0.1287298,0.1243991,0.1173844
1233.17,0.1725732,0.1732291,0.1570626,0.1528725,0.1411671,0.1286083,0.1242517,0.1172846
1233.46,0.1724102,0.1730277,0.1568765,0.1527155,0.141014,0.1284754,0.1241041,0.1171587
1233.75,0.1722123,0.1728055,0.1566739,0.1525552,0.1408262,0.1283116,0.1239666,0.1170159
1234.05,0.171989,0.1726126,0.1564664,0.1523578,0.1406283,0.12814,0.1238164,0.1168523
1234.34,0.1717619,0.172439,0.1562615,0.1521035,0.140438,0.127969,0.1236363,0.1166834
1234.63,0.1715756,0.1722807,0.1560943,0.1519013,0.1402921,0.1278078,0.1234772,0.1165696
1234.93,0.1714514,0.1721273,0.1559587,0.1518112,0.1401701,0.1276715,0.12336,0.1164759
1235.22,0.1713594,0.1719553,0.1558109,0.15174,0.1400068,0.1275405,0.1232421,0.1163374
1235.52,0.1712707,0.1718031,0.1556733,0.1516221,0.1398335,0.1274117,0.1231099,0.1162156
1235.81,0.1711964,0.1717351,0.1556027,0.1515119,0.1397524,0.1273356,0.1230069,0.1161754
1236.11,0.1711152,0.1717123,0.1555587,0.1514415,0.1397343,0.1273082,0.1229375,0.1161366
1236.4,0.1709438,0.1716136,0.1554498,0.1513368,0.1396424,0.1272298,0.1228369,0.1160067
1236.7,0.1706903,0.1714253,0.1552708,0.1511528,0.1394623,0.1270698,0.122688,0.1158296
1236.99,0.1704468,0.1712403,0.1550754,0.1509376,0.1392755,0.1269036,0.1225341,0.1156685
1237.29,0.1702492,0.1710737,0.1548933,0.1507454,0.1391042,0.1267488,0.1223949,0.115513
1237.58,0.170098,0.1708816,0.1547417,0.150608,0.1389471,0.1265751,0.1222713,0.115361
1237.88,0.1699788,0.1706871,0.1546249,0.1505229,0.1388235,0.126409,0.1221629,0.1152251
1238.17,0.1698717,0.1705429,0.154518,0.1504464,0.1387253,0.1262912,0.1220616,0.1151058
1238.47,0.169771,0.1704379,0.1544096,0.1503429,0.1386268,0.1262116,0.1219519,0.1150055
1238.76,0.169661,0.1703148,0.1542933,0.1502125,0.1385239,0.1261325,0.1218179,0.1149059
1239.06,0.1695428,0.1701664,0.1541512,0.1500819,0.1384298,0.1260289,0.1216719,0.1147892
1239.36,0.1694149,0.1700321,0.154,0.1499587,0.1383323,0.1258896,0.1215373,0.1146638
1239.65,0.1692855,0.1699343,0.1538742,0.1498423,0.1382045,0.1257584,0.1214386,0.1145469
1239.95,0.1691828,0.1698586,0.1537635,0.1497501,0.1380554,0.1256789,0.1213801,0.1144514
1240.25,0.1690879,0.1697905,0.153643,0.1496667,0.1379273,0.1256095,0.1213208,0.114366
1240.54,0.1689776,0.1697376,0.1535197,0.1495596,0.1378397,0.1255126,0.121225,0.1142693
1240.84,0.168888,0.1696873,0.1534278,0.1494458,0.1377755,0.1254205,0.1211179,0.1141827
1241.14,0.1688439,0.1696026,0.1533813,0.1493521,0.1377168,0.1253591,0.1210435,0.1141205
1241.43,0.1687973,0.1694801,0.153331,0.1492682,0.1376531,0.1252927,0.1209851,0.11404
1241.73,0.1687195,0.1693593,0.1532367,0.1491984,0.1375864,0.1251954,0.1209114,0.1139424
1242.03,0.1686622,0.1692769,0.1531445,0.1491589,0.1375178,0.1251,0.1208356,0.1138776
1242.33,0.1686441,0.1692258,0.1531013,0.1491187,0.1374234,0.1250271,0.1207579,0.1138338
1242.62,0.1686363,0.1691807,0.1530881,0.14905,0.1373297,0.1249715,0.1206739,0.1137786
1242.92,0.1686234,0.1691526,0.1530805,0.1489796,0.1372804,0.1249245,0.1206117,0.1137203
1243.22,0.168587,0.1691634,0.1530795,0.1489451,0.1372551,0.1248861,0.1205924,0.113675
1243.52,0.1685339,0.1691948,0.1530761,0.148952,0.1372471,0.1248521,0.1205792,0.1136337
1243.82,0.1684815,0.169193,0.153053,0.1489607,0.1372386,0.1247853,0.1205103,0.1135668
1244.11,0.1684246,0.1691227,0.1530127,0.1489271,0.1371766,0.1246913,0.1203974,0.1134747
1244.41,0.1683803,0.1690214,0.1529645,0.148858,0.1370825,0.1246204,0.1202977,0.1133745
1244.71,0.1683634,0.1689637,0.152917,0.1487881,0.1370258,0.1245656,0.1202264,0.1132613
1245.01,0.1683798,0.1689798,0.1528885,0.1487476,0.1370267,0.1245125,0.1201748,0.1131575
